444
26137  1562    448 35049  10500    12   228   102   939   281   248   311   112    61    10     0     6
26138  2899    461 35049  10800   106   602   205  1764   222   220   506   187   110    88    35     0
26139  1748   1965 35049    300    78   228   261   990   191   524   222    89    65    35     0     3
26140  2451     97 35049   1203   233   630   358  1133    97   115   219   172   141    86    20    34
26141   611  11645 35049    400     0    15    56   191   349   281    79     7     0     0     0     0
26142  2901   1692 35049  10400    87   446   374  1406   588   354   526   141   129    33    15     0
26143  3207   1038 35049    800   188   554   453  1682   330   527   457   215   111    61    52     4
26144  2434   2563 35049    500    71   218   210  1349   586   683   481   120    91     8     0     0
26145  2205   2130 35049    700   196   183   432  1071   323   423   338   136    66    43    13     8
26146  2334   3283 35049    600    55   219   324  1373   363   694   415   164    67     0     5     4
26147  3668   1243 35049    900   199   600   435  1973   461   518   522   227   177    65    40    12
26148  1482    187 35043 940100   100   312   194   631   245   115   170    85    52    47    14    27
26150  3481   5470 35049   1002   275   677   765  1401   363   434   396   209   157    98    63    17
26151  4026   3621 35049   1202   406   796   854  1697   273   446   377   252   224   103    71    34
26152  6311   1048 35031 943600   647  2109   975  2206   374   354   246   247   236   220   163   213
26153  4048   1186 35047 957200   311  1073   534  1695   435   459   452   291   219   106    34    11
26154  2431    193 35049  10304   156   403   322  1352   198   310   387    95   171    43    29     0
26155  2340   3079 35049   1103    85   391   697  1005   162   263   277   102    82    30    25    11
26156  9813   1565 35031 943900   931  3094  1511  3695   582   426   517   396   418   394   214   276
26158  2727   1584 35049   1102   137   419   371  1447   353   501   450   189   100    46     6    13
26159  5723    920 35049   1107   250  1068   846  2968   591   664   769   384   314   111    50    22
26160  9533    856 35049   1201  1049  2348  1863  3983   290   565   765   597   617   313   155    95
26161  4491   1520 35047 957800   306  1098   495  2016   576   407   432   302   245   136    48    13
26162  2660   2338 35049   1106    88   430   338  1373   431   293   334   192   120    80    21     0
26163  2149   5035 35049   1001    57   306    94   967   725   488   263   127    89    14     0    13
26164  1958    228 35043  10102   157   568   305   798   130    47    63    92    86    80    41    63
26165  2698    336 35049   1105   110   516   345  1546   181   444   405   202   118    40    15     0
26166  8211   2451 35049   1300   866  2037  1607  3445   256   599   728   498   528   237   105    79
26167  4496   1522 35049  10302   244   778   255  2580   639   683   675   324   257    46    17    17
26168  4875    921 35049  10700   113  1011   227  3031   493   453   875   334   284    63    29     0
26169  3445    156 35043 940200   330  1043   606  1267   199    57    77    58    90   114    77   185
26170  6307   1311 35049  10600   328  1323   374  3828   454   549   988   421   400   107    49    19
26171  3675   2060 35047 957300   176   738   852  1402   507   470   463   170   198    55    13     7
26172  3035   1557 35031 945300   303   894   469  1159   210   245   233   160   162    89    59    50
26173  4826   2162 35047 957400   353  1021   712  2118   622   553   552   331   225   128    62    17
26174 10804   1346 35049  10306   745  2752   867  5762   678   674  1361   712   675   314    76    66
26175  2360    555 35049  10308   151   559   312  1197   141   202   284   132   109    80    34    16
26176  6059   1910 35031 945200   570  1889   906  2476   218   243   398   357   331   238   130    88
26177   904      4 35049  10305    20    48   306   530     0     0    10     0     9    14     0     0
26178  2245    404 35047 957700   109   565   291  1029   251   157   236   179    67    92    54     0
26179  5511   1598 35031 945600   474  1645   845  2228   319   220   366   256   299   178    90   107
26180  3185    121 35043  10302   290   913   603  1214   165    64   107    77   116   114    64   135
26181  3215   2060 35031 945400   216   835   504  1273   387   404   354   198   145    68    21    36
26183  5590   3577 35031 945500   444  1023   607  2696   820   654   710   336   276   137    76     0
26184   723    208 35031 972800    46   207    55   367    48    27    60    40    49     8    29     7
26185  4672    914 35043  10502   222   820   308  2840   482   378   908   244   218   112    23    20
